[2018-09-30 17:10:11]  
arich[0].temp : float(34.125)
arich[0].feb[0].t1 : float(28.625)
arich[0].feb[0].t2 : float(28.5625)
arich[0].feb[1].t1 : float(28.625)
arich[0].feb[1].t2 : float(28.5625)
arich[0].feb[2].t1 : float(29)
arich[0].feb[2].t2 : float(29)
arich[0].feb[3].t1 : float(29.875)
arich[0].feb[3].t2 : float(29.4375)
arich[0].feb[4].t1 : float(30.625)
arich[0].feb[4].t2 : float(30.5)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(34.3125)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(31.0625)
arich[1].feb[1].t2 : float(30.875)
arich[1].feb[2].t1 : float(31.125)
arich[1].feb[2].t2 : float(31.0625)
arich[1].feb[3].t1 : float(30.375)
arich[1].feb[3].t2 : float(30.4375)
arich[1].feb[4].t1 : float(30.3125)
arich[1].feb[4].t2 : float(30.375)
arich[1].feb[5].t1 : float(30.875)
arich[1].feb[5].t2 : float(31.0625)
arich[2].temp : float(33.8125)
arich[2].feb[0].t1 : float(29.25)
arich[2].feb[0].t2 : float(29.5)
arich[2].feb[1].t1 : float(29.875)
arich[2].feb[1].t2 : float(29.8125)
arich[2].feb[2].t1 : float(29.375)
arich[2].feb[2].t2 : float(29.5)
arich[2].feb[3].t1 : float(28.1875)
arich[2].feb[3].t2 : float(28.375)
arich[2].feb[4].t1 : float(29)
arich[2].feb[4].t2 : float(29.1875)
arich[2].feb[5].t1 : float(27.9375)
arich[2].feb[5].t2 : float(28.125)
arich[3].temp : float(32.4375)
arich[3].feb[0].t1 : float(27.125)
arich[3].feb[0].t2 : float(27)
arich[3].feb[1].t1 : float(27.125)
arich[3].feb[1].t2 : float(27)
arich[3].feb[2].t1 : float(26.5625)
arich[3].feb[2].t2 : float(26.4375)
arich[3].feb[3].t1 : float(26.5625)
arich[3].feb[3].t2 : float(26.5)
arich[3].feb[4].t1 : float(28.125)
arich[3].feb[4].t2 : float(27.9375)
arich[3].feb[5].t1 : float(27.9375)
arich[3].feb[5].t2 : float(27.625)
[2018-09-30 17:37:21]  
arich[0].temp : float(38.8125)
arich[0].feb[0].t1 : float(34.5)
arich[0].feb[0].t2 : float(34.5625)
arich[0].feb[1].t1 : float(35.0625)
arich[0].feb[1].t2 : float(35)
arich[0].feb[2].t1 : float(35.4375)
arich[0].feb[2].t2 : float(35.375)
arich[0].feb[3].t1 : float(35.6875)
arich[0].feb[3].t2 : float(35.4375)
arich[0].feb[4].t1 : float(36.125)
arich[0].feb[4].t2 : float(36.125)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(38.625)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(36.125)
arich[1].feb[1].t2 : float(36.125)
arich[1].feb[2].t1 : float(36.5)
arich[1].feb[2].t2 : float(36.4375)
arich[1].feb[3].t1 : float(36.5)
arich[1].feb[3].t2 : float(36.5625)
arich[1].feb[4].t1 : float(36.625)
arich[1].feb[4].t2 : float(36.625)
arich[1].feb[5].t1 : float(36.625)
arich[1].feb[5].t2 : float(36.6875)
arich[2].temp : float(38.875)
arich[2].feb[0].t1 : float(35.8125)
arich[2].feb[0].t2 : float(36.125)
arich[2].feb[1].t1 : float(36.375)
arich[2].feb[1].t2 : float(36.1875)
arich[2].feb[2].t1 : float(36)
arich[2].feb[2].t2 : float(36.1875)
arich[2].feb[3].t1 : float(33.6875)
arich[2].feb[3].t2 : float(34.125)
arich[2].feb[4].t1 : float(34.3125)
arich[2].feb[4].t2 : float(34.625)
arich[2].feb[5].t1 : float(33.3125)
arich[2].feb[5].t2 : float(33.75)
arich[3].temp : float(36.875)
arich[3].feb[0].t1 : float(31.375)
arich[3].feb[0].t2 : float(31.25)
arich[3].feb[1].t1 : float(32.125)
arich[3].feb[1].t2 : float(32.0625)
arich[3].feb[2].t1 : float(30)
arich[3].feb[2].t2 : float(29.8125)
arich[3].feb[3].t1 : float(30.625)
arich[3].feb[3].t2 : float(30.5)
arich[3].feb[4].t1 : float(32.9375)
arich[3].feb[4].t2 : float(33)
arich[3].feb[5].t1 : float(32)
arich[3].feb[5].t2 : float(31.875)
[2018-09-30 17:38:09]  
arich[0].temp : float(38.8125)
arich[0].feb[0].t1 : float(34.625)
arich[0].feb[0].t2 : float(34.6875)
arich[0].feb[1].t1 : float(35.125)
arich[0].feb[1].t2 : float(35.125)
arich[0].feb[2].t1 : float(35.5625)
arich[0].feb[2].t2 : float(35.4375)
arich[0].feb[3].t1 : float(35.8125)
arich[0].feb[3].t2 : float(35.5)
arich[0].feb[4].t1 : float(36.1875)
arich[0].feb[4].t2 : float(36.25)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(38.6875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(36.1875)
arich[1].feb[1].t2 : float(36.1875)
arich[1].feb[2].t1 : float(36.5625)
arich[1].feb[2].t2 : float(36.5)
arich[1].feb[3].t1 : float(36.5625)
arich[1].feb[3].t2 : float(36.625)
arich[1].feb[4].t1 : float(36.75)
arich[1].feb[4].t2 : float(36.75)
arich[1].feb[5].t1 : float(36.6875)
arich[1].feb[5].t2 : float(36.8125)
arich[2].temp : float(38.875)
arich[2].feb[0].t1 : float(35.9375)
arich[2].feb[0].t2 : float(36.1875)
arich[2].feb[1].t1 : float(36.4375)
arich[2].feb[1].t2 : float(36.3125)
arich[2].feb[2].t1 : float(36.125)
arich[2].feb[2].t2 : float(36.3125)
arich[2].feb[3].t1 : float(33.75)
arich[2].feb[3].t2 : float(34.1875)
arich[2].feb[4].t1 : float(34.375)
arich[2].feb[4].t2 : float(34.75)
arich[2].feb[5].t1 : float(33.375)
arich[2].feb[5].t2 : float(33.875)
arich[3].temp : float(36.9375)
arich[3].feb[0].t1 : float(31.4375)
arich[3].feb[0].t2 : float(31.375)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(30)
arich[3].feb[2].t2 : float(29.875)
arich[3].feb[3].t1 : float(30.6875)
arich[3].feb[3].t2 : float(30.5625)
arich[3].feb[4].t1 : float(33)
arich[3].feb[4].t2 : float(33.125)
arich[3].feb[5].t1 : float(32.0625)
arich[3].feb[5].t2 : float(31.875)
[2018-09-30 17:56:39]  
arich[0].temp : float(39.6875)
arich[0].feb[0].t1 : float(36)
arich[0].feb[0].t2 : float(36.125)
arich[0].feb[1].t1 : float(36.6875)
arich[0].feb[1].t2 : float(36.625)
arich[0].feb[2].t1 : float(37.125)
arich[0].feb[2].t2 : float(37)
arich[0].feb[3].t1 : float(37.375)
arich[0].feb[3].t2 : float(37.0625)
arich[0].feb[4].t1 : float(37.75)
arich[0].feb[4].t2 : float(37.8125)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(39.5625)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(37.625)
arich[1].feb[1].t2 : float(37.6875)
arich[1].feb[2].t1 : float(38.0625)
arich[1].feb[2].t2 : float(38.0625)
arich[1].feb[3].t1 : float(38.25)
arich[1].feb[3].t2 : float(38.3125)
arich[1].feb[4].t1 : float(38.4375)
arich[1].feb[4].t2 : float(38.375)
arich[1].feb[5].t1 : float(38.1875)
arich[1].feb[5].t2 : float(38.3125)
arich[2].temp : float(40.0625)
arich[2].feb[0].t1 : float(37.5625)
arich[2].feb[0].t2 : float(37.875)
arich[2].feb[1].t1 : float(38.1875)
arich[2].feb[1].t2 : float(38)
arich[2].feb[2].t1 : float(37.875)
arich[2].feb[2].t2 : float(38.0625)
arich[2].feb[3].t1 : float(35.5)
arich[2].feb[3].t2 : float(35.9375)
arich[2].feb[4].t1 : float(36)
arich[2].feb[4].t2 : float(36.375)
arich[2].feb[5].t1 : float(35)
arich[2].feb[5].t2 : float(35.5625)
arich[3].temp : float(37.6875)
arich[3].feb[0].t1 : float(32.375)
arich[3].feb[0].t2 : float(32.3125)
arich[3].feb[1].t1 : float(33.375)
arich[3].feb[1].t2 : float(33.3125)
arich[3].feb[2].t1 : float(30.75)
arich[3].feb[2].t2 : float(30.5625)
arich[3].feb[3].t1 : float(31.625)
arich[3].feb[3].t2 : float(31.5)
arich[3].feb[4].t1 : float(34.1875)
arich[3].feb[4].t2 : float(34.3125)
arich[3].feb[5].t1 : float(33)
arich[3].feb[5].t2 : float(32.875)
[2018-09-30 18:20:27]  
arich[0].temp : float(40.125)
arich[0].feb[0].t1 : float(36.875)
arich[0].feb[0].t2 : float(37)
arich[0].feb[1].t1 : float(37.625)
arich[0].feb[1].t2 : float(37.5625)
arich[0].feb[2].t1 : float(38.125)
arich[0].feb[2].t2 : float(38)
arich[0].feb[3].t1 : float(38.3125)
arich[0].feb[3].t2 : float(38.0625)
arich[0].feb[4].t1 : float(38.8125)
arich[0].feb[4].t2 : float(38.875)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(40.0625)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(38.625)
arich[1].feb[1].t2 : float(38.625)
arich[1].feb[2].t1 : float(39.125)
arich[1].feb[2].t2 : float(39.0625)
arich[1].feb[3].t1 : float(39.3125)
arich[1].feb[3].t2 : float(39.4375)
arich[1].feb[4].t1 : float(39.5625)
arich[1].feb[4].t2 : float(39.5)
arich[1].feb[5].t1 : float(39.1875)
arich[1].feb[5].t2 : float(39.3125)
arich[2].temp : float(40.6875)
arich[2].feb[0].t1 : float(38.625)
arich[2].feb[0].t2 : float(38.9375)
arich[2].feb[1].t1 : float(39.375)
arich[2].feb[1].t2 : float(39.1875)
arich[2].feb[2].t1 : float(39)
arich[2].feb[2].t2 : float(39.1875)
arich[2].feb[3].t1 : float(36.75)
arich[2].feb[3].t2 : float(37.125)
arich[2].feb[4].t1 : float(37.25)
arich[2].feb[4].t2 : float(37.5625)
arich[2].feb[5].t1 : float(36.1875)
arich[2].feb[5].t2 : float(36.6875)
arich[3].temp : float(38.125)
arich[3].feb[0].t1 : float(32.875)
arich[3].feb[0].t2 : float(32.8125)
arich[3].feb[1].t1 : float(34.0625)
arich[3].feb[1].t2 : float(34)
arich[3].feb[2].t1 : float(31.1875)
arich[3].feb[2].t2 : float(31)
arich[3].feb[3].t1 : float(32.1875)
arich[3].feb[3].t2 : float(32.0625)
arich[3].feb[4].t1 : float(34.9375)
arich[3].feb[4].t2 : float(35.0625)
arich[3].feb[5].t1 : float(33.5)
arich[3].feb[5].t2 : float(33.4375)
[2018-09-30 18:54:18]  
arich[0].temp : float(40.5)
arich[0].feb[0].t1 : float(37.3125)
arich[0].feb[0].t2 : float(37.4375)
arich[0].feb[1].t1 : float(38.0625)
arich[0].feb[1].t2 : float(38.0625)
arich[0].feb[2].t1 : float(38.6875)
arich[0].feb[2].t2 : float(38.5625)
arich[0].feb[3].t1 : float(38.875)
arich[0].feb[3].t2 : float(38.625)
arich[0].feb[4].t1 : float(39.375)
arich[0].feb[4].t2 : float(39.4375)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(40.5)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(39.1875)
arich[1].feb[1].t2 : float(39.25)
arich[1].feb[2].t1 : float(39.6875)
arich[1].feb[2].t2 : float(39.625)
arich[1].feb[3].t1 : float(40)
arich[1].feb[3].t2 : float(40.0625)
arich[1].feb[4].t1 : float(40.25)
arich[1].feb[4].t2 : float(40.1875)
arich[1].feb[5].t1 : float(39.8125)
arich[1].feb[5].t2 : float(39.875)
arich[2].temp : float(41.25)
arich[2].feb[0].t1 : float(39.25)
arich[2].feb[0].t2 : float(39.625)
arich[2].feb[1].t1 : float(40.125)
arich[2].feb[1].t2 : float(39.9375)
arich[2].feb[2].t1 : float(39.6875)
arich[2].feb[2].t2 : float(39.9375)
arich[2].feb[3].t1 : float(37.5)
arich[2].feb[3].t2 : float(37.9375)
arich[2].feb[4].t1 : float(38.0625)
arich[2].feb[4].t2 : float(38.375)
arich[2].feb[5].t1 : float(36.875)
arich[2].feb[5].t2 : float(37.4375)
arich[3].temp : float(38.4375)
arich[3].feb[0].t1 : float(33.125)
arich[3].feb[0].t2 : float(33.125)
arich[3].feb[1].t1 : float(34.375)
arich[3].feb[1].t2 : float(34.375)
arich[3].feb[2].t1 : float(31.375)
arich[3].feb[2].t2 : float(31.25)
arich[3].feb[3].t1 : float(32.5)
arich[3].feb[3].t2 : float(32.375)
arich[3].feb[4].t1 : float(35.25)
arich[3].feb[4].t2 : float(35.375)
arich[3].feb[5].t1 : float(33.8125)
arich[3].feb[5].t2 : float(33.6875)
[2018-09-30 18:55:48]  
arich[0].temp : float(40.4375)
arich[0].feb[0].t1 : float(37.3125)
arich[0].feb[0].t2 : float(37.4375)
arich[0].feb[1].t1 : float(38.125)
arich[0].feb[1].t2 : float(38.0625)
arich[0].feb[2].t1 : float(38.6875)
arich[0].feb[2].t2 : float(38.5625)
arich[0].feb[3].t1 : float(38.875)
arich[0].feb[3].t2 : float(38.625)
arich[0].feb[4].t1 : float(39.375)
arich[0].feb[4].t2 : float(39.4375)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(40.5)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(39.1875)
arich[1].feb[1].t2 : float(39.25)
arich[1].feb[2].t1 : float(39.6875)
arich[1].feb[2].t2 : float(39.625)
arich[1].feb[3].t1 : float(40)
arich[1].feb[3].t2 : float(40.0625)
arich[1].feb[4].t1 : float(40.25)
arich[1].feb[4].t2 : float(40.25)
arich[1].feb[5].t1 : float(39.8125)
arich[1].feb[5].t2 : float(39.9375)
arich[2].temp : float(41.125)
arich[2].feb[0].t1 : float(39.3125)
arich[2].feb[0].t2 : float(39.625)
arich[2].feb[1].t1 : float(40.125)
arich[2].feb[1].t2 : float(39.9375)
arich[2].feb[2].t1 : float(39.75)
arich[2].feb[2].t2 : float(39.9375)
arich[2].feb[3].t1 : float(37.5)
arich[2].feb[3].t2 : float(37.9375)
arich[2].feb[4].t1 : float(38.0625)
arich[2].feb[4].t2 : float(38.375)
arich[2].feb[5].t1 : float(36.9375)
arich[2].feb[5].t2 : float(37.4375)
arich[3].temp : float(38.375)
arich[3].feb[0].t1 : float(33.1875)
arich[3].feb[0].t2 : float(33.125)
arich[3].feb[1].t1 : float(34.4375)
arich[3].feb[1].t2 : float(34.375)
arich[3].feb[2].t1 : float(31.375)
arich[3].feb[2].t2 : float(31.25)
arich[3].feb[3].t1 : float(32.5)
arich[3].feb[3].t2 : float(32.375)
arich[3].feb[4].t1 : float(35.25)
arich[3].feb[4].t2 : float(35.375)
arich[3].feb[5].t1 : float(33.8125)
arich[3].feb[5].t2 : float(33.75)
[2018-09-30 19:08:11]  
arich[0].temp : float(40.4375)
arich[0].feb[0].t1 : float(37.375)
arich[0].feb[0].t2 : float(37.5)
arich[0].feb[1].t1 : float(38.1875)
arich[0].feb[1].t2 : float(38.1875)
arich[0].feb[2].t1 : float(38.8125)
arich[0].feb[2].t2 : float(38.6875)
arich[0].feb[3].t1 : float(39)
