        posR_cm     posPhi_deg      measT_Cel
          57.35      0.0747998        46.9375
          65.81      0.0654498         48.625
          57.35       0.224399        46.8125
          65.81        0.19635        49.3125
          65.81       0.327249        49.9375
          57.35       0.373999             48
          74.37       0.407243         51.875
          65.81       0.458149         50.875
          74.37       0.523599         51.875
          57.35       0.523599         48.375
          65.81       0.589049        51.5625
          74.37       0.639954        52.8125
          57.35       0.673198        48.9375
          65.81       0.719948         51.875
          57.35       0.822798         49.375
          65.81       0.850848        52.4375
          65.81       0.981748          51.75
          57.35       0.972398        48.5625
         91.305      0.0475999        46.9375
          74.37      0.0581776        47.4375
         82.868      0.0523599         46.875
         82.868        0.15708        48.6875
          74.37       0.174533        49.3125
         91.305         0.1428         48.125
         91.305       0.237999        48.5625
         82.868       0.261799        49.4375
          74.37       0.290888        50.3125
         82.868       0.366519          51.25
         82.868       0.471239        52.4375
         82.868       0.575959         44.375
         82.868       0.680678           45.5
          74.37       0.756309          44.25
         82.868       0.785398          45.75
         91.305       0.809198        45.5625
         91.305       0.904398         53.875
          74.37       0.872665        52.8125
         82.868       0.890118        53.9375
         82.868       0.994838        52.5625
          74.37        0.98902         52.375
         91.305       0.999598        52.5625
        108.185        0.12083        46.3125
         99.794         0.1309        47.5625
        108.185      0.0402768        46.0625
         99.794      0.0436332        47.3125
         99.794       0.218166         48.625
        108.185       0.201384          46.75
        108.185       0.281938        48.0625
         99.794       0.305433         49.625
         91.305       0.333199        49.8125
         99.794       0.392699        51.4375
        108.185       0.362491          49.25
         91.305       0.428399          52.25
         91.305       0.618799        54.4375
        108.185       0.684706          55.75
         99.794       0.654498         56.125
         91.305       0.713998        54.6875
         99.794       0.741765          55.75
        108.185        0.76526        54.3125
        108.185       0.845813        53.4375
         99.794       0.829031             55
         99.794        1.00356        51.9375
        108.185        1.00692         50.625
         99.794       0.916298         54.125
        108.185       0.926367          52.25
        108.185       0.604152          55.75
         99.794       0.567232        55.3125
         91.305       0.523599        53.1875
        108.185       0.523599             54
         99.794       0.479966         53.375
        108.185       0.443045         51.125
          57.35          1.122          49.75
          65.81        1.11265           51.5
          57.35         1.2716          49.75
          65.81        1.24355        52.3125
          65.81        1.37445        53.0625
          57.35         1.4212        50.4375
          74.37        1.45444         55.375
          65.81        1.50535         53.625
          74.37         1.5708        55.3125
          57.35         1.5708        51.3125
          65.81        1.63625        54.1875
          74.37        1.68715         56.125
          57.35         1.7204        51.1875
          65.81        1.76715        54.1875
          57.35           1.87         51.375
          65.81        1.89805             54
          65.81        2.02895        53.8125
          57.35         2.0196         50.625
         91.305         1.0948           51.5
          74.37        1.10538        51.8125
         82.868        1.09956        51.4375
         82.868        1.20428          53.75
          74.37        1.22173         52.375
         91.305           1.19        53.4375
         91.305         1.2852         53.875
         82.868          1.309           54.5
          74.37        1.33809        54.1875
