        posR_cm     posPhi_deg      measT_Cel
          58.42        0.15708          59.71
          58.42       0.523599          67.55
          58.42       0.890118          61.18
          74.17       0.122173          56.77
          74.17       0.366519          63.63
          74.17       0.680678          61.67
          74.17       0.925025          65.59
           91.1       0.191986          50.89
           91.1       0.383972          56.28
           91.1       0.663225          71.96
           91.1       0.855211          70.98
         107.77       0.558505          62.65
          58.42        1.20428          68.04
          58.42         1.5708           60.2
          58.42        1.93732          66.57
          74.17        1.16937             70
          74.17        1.41372          70.98
          74.17        1.72788           74.9
          74.17        1.97222          69.51
           91.1        1.23918          69.51
           91.1        1.43117          75.88
           91.1        1.71042          62.65
           91.1        1.90241          68.53
         107.77         1.6057          72.94
          58.42        2.25147          71.96
          58.42        2.61799          67.06
          58.42        2.98451          63.63
          74.17        2.21657          70.98
          74.17        2.46091          64.12
          74.17        2.77507          78.33
          74.17        3.01942          61.67
           91.1        2.28638          71.96
           91.1        2.47837          66.08
           91.1        2.75762          73.92
           91.1        2.94961          76.86
         107.77         2.6529          73.92
          58.42        3.29867          66.57
          58.42        3.66519          58.24
          58.42        4.03171          59.71
          74.17        3.26377          66.08
          74.17        3.50811             70
          74.17        3.82227          63.63
          74.17        4.06662           65.1
           91.1        3.33358          75.39
           91.1        3.52557          73.43
           91.1        3.80482          72.45
           91.1         3.9968          62.65
         107.77         3.7001          59.22
          58.42        4.34587          63.14
          58.42        5.07891          67.55
          74.17        4.31096          68.04
          74.17        4.55531             70
          74.17        4.86947          69.51
          74.17        5.11381          58.73
           91.1        4.38078          53.34
           91.1        4.57276          61.67
           91.1        4.85202           65.1
           91.1          5.044          67.06
         107.77         4.7473          66.57
          58.42        5.39307           60.2
          58.42        5.75959           55.3
          58.42        6.12611          62.16
          74.17        5.35816          56.77
          74.17        5.60251          66.57
          74.17        5.91667          65.59
          74.17        6.16101          67.06
           91.1        5.42797          58.73
           91.1        5.61996          59.71
           91.1        5.89921          62.65
           91.1         6.0912          74.41
         107.77        5.79449          52.85
